ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
1123870,0h 7m 25s,11/9/2012 15:19,Bay St / Albert St,7021,11/9/2012 15:26,Gould St / Mutual St,7028,t09991,M5B2L2,Subscriber
1124147,0h 7m 36s,11/9/2012 17:04,Gould St / Mutual St,7028,11/9/2012 17:11,Sherbourne St / Wellesley St,7042,t09991,,Casual
1124289,0h 5m 34s,11/9/2012 17:35,Sherbourne St / Wellesley St,7042,11/9/2012 17:40,Church St / Monteith St ,7058,t09991,M5V0C9,Subscriber
1124459,0h 1m 24s,11/9/2012 18:23,Church St / Monteith St ,7058,11/9/2012 18:25,Wellesley St E. / Yonge St,7051,t09991,M4Y3G5,Subscriber
1124466,0h 4m 40s,11/9/2012 18:26,Wellesley St E. / Yonge St,7051,11/9/2012 18:30,Edward St / Yonge St,7041,t09991,M4Y 2P7,Subscriber
1125431,0h 7m 53s,11/10/2012 14:21,Edward St / Yonge St,7041,11/10/2012 14:29,Simcoe St / Queen St W,7022,t09991,M5G2G4,Subscriber
1125639,0h 9m 4s,11/10/2012 16:14,Simcoe St / Queen St W,7022,11/10/2012 16:23,Bay St / Bloor St W,7029,t09991,M4W3G9,Subscriber
1125716,0h 14m 25s,11/10/2012 16:55,Bay St / Bloor St W,7029,11/10/2012 17:10,Phoebe St / Spadina Ave,7020,t09991,M5V3T9,Subscriber
1126696,0h 8m 5s,11/11/2012 14:15,Phoebe St / Spadina Ave,7020,11/11/2012 14:23,Elizabeth St / Edward St,7012,t09991,M6J1A9,Subscriber
1126736,0h 12m 15s,11/11/2012 14:33,Elizabeth St / Edward St,7012,11/11/2012 14:45,Queen St / Portland St,7049,t09991,M6J1A9,Subscriber
1126868,0h 13m 33s,11/11/2012 15:46,Queen St / Portland St,7049,11/11/2012 16:00,Augusta Ave / Dundas St W,7032,t09991,,Casual
1127069,0h 24m 0s,11/11/2012 17:28,Augusta Ave / Dundas St W,7032,11/11/2012 17:52,Queens Quay W / Dan Leckie Way,7075,t09991,,Casual
1127573,0h 7m 22s,11/12/2012 7:38,Queens Quay W / Dan Leckie Way,7075,11/12/2012 7:45,Ft. York / Capreol Crt.,7000,t09991,M4Y1B6,Subscriber
