ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
1908545,0h 5m 11s,4/1/2014 18:15,Bay St / Bloor St W,7029,4/1/2014 18:21,,,T01722,M5R2A7,Registered
1908660,0h 11m 7s,4/1/2014 19:08,College St / Major St,7078,4/1/2014 19:20,,,T01798,M4X1N5,Registered
1908764,0h 4m 16s,4/1/2014 20:26,Tech Terminal,7033,4/1/2014 20:31,,,T01112,M4S 1G9,Registered
1908851,0h 8m 56s,4/1/2014 22:05,Edward St / Yonge St,7041,4/1/2014 22:14,,,T02009,,Casual
1909835,0h 7m 44s,4/2/2014 17:06,Ferry Ramp / Queens Quay W,7016,4/2/2014 17:14,,,T01830,M4W3M3,Registered
1926569,2h 47m 55s,4/16/2014 11:52,Bay St / Bloor St W,7029,4/16/2014 14:40,,,T01710,,Casual
1931714,549h 19m 38s,4/20/2014 21:03,Bay St / Albert St,7021,5/13/2014 18:23,,,T01730,M4B 1J7,Registered
1949137,0h 0m 11s,5/3/2014 18:58,Widmer St / Adelaide St ,7017,5/3/2014 18:59,,,T01125,M5R-3M6,Registered
1949163,0h 10m 25s,5/3/2014 19:31,Edward St / Yonge St,7041,5/3/2014 19:42,,,T01071,M5A1P9,Registered
1950172,0h 26m 45s,5/4/2014 16:43,Trinity / Front (Distillery),7064,5/4/2014 17:10,,,T01453,,Casual
1951879,1h 53m 31s,5/5/2014 17:13,Simcoe St / Queen St W,7022,5/5/2014 19:07,,,T01560,,Casual
1952105,0h 3m 57s,5/5/2014 18:16,Ferry Ramp / Queens Quay W,7016,5/5/2014 18:20,,,T01969,M4P 1S9,Registered
1961104,0h 13m 59s,5/10/2014 11:44,Edward St / Yonge St,7041,5/10/2014 11:58,,,T01476,M5G 2G4,Registered
